"","codCentro","codArticulo","num_roturas","num_servicios","porcent_roturas"
"666",13244,174,1,96,1.04
"667",13244,179,1,96,1.04
"668",13244,503,1,96,1.04
"896",30468,73,1,98,1.02
"899",30468,179,1,98,1.02
"900",30468,503,1,98,1.02
"902",30468,2429,1,98,1.02
"112",2474,174,1,99,1.01
"113",2474,179,1,99,1.01
"114",2474,180,1,99,1.01
"115",2474,181,1,99,1.01
"118",2474,575,1,99,1.01
"119",2474,687,1,99,1.01
"494",9641,167,1,99,1.01
"495",9641,180,1,99,1.01
"497",9641,2429,1,99,1.01
"498",9641,2653,1,99,1.01
"533",10017,2,1,99,1.01
"534",10017,70,1,99,1.01
"535",10017,181,1,99,1.01
"488",9606,70,1,101,0.99
"489",9606,71,1,101,0.99
"490",9606,174,1,101,0.99
"491",9606,504,1,101,0.99
"492",9606,783,1,101,0.99
"493",9606,2429,1,101,0.99
"927",41026,173,1,102,0.98
"928",41026,174,1,102,0.98
"929",41026,179,1,102,0.98
"930",41026,181,1,102,0.98
"933",41026,2429,1,102,0.98
"550",10538,70,1,105,0.95
"551",10538,173,1,105,0.95
"552",10538,179,1,105,0.95
"553",10538,574,1,105,0.95
"554",10538,575,1,105,0.95
"555",10538,592,1,105,0.95
"556",10538,2429,1,105,0.95
"677",13551,2,1,105,0.95
"678",13551,70,1,105,0.95
"680",13551,174,1,105,0.95
"681",13551,179,1,105,0.95
"682",13551,181,1,105,0.95
"683",13551,592,1,105,0.95
"684",13551,2653,1,105,0.95
"298",5859,70,1,108,0.93
"299",5859,71,1,108,0.93
"300",5859,72,1,108,0.93
"301",5859,174,1,108,0.93
"302",5859,186,1,108,0.93
"304",5859,575,1,108,0.93
"155",2770,2,1,110,0.91
"156",2770,71,1,110,0.91
"157",2770,174,1,110,0.91
"159",2770,186,1,110,0.91
"161",2770,2429,1,110,0.91
"244",3792,71,1,111,0.9
"246",3792,174,1,111,0.9
"247",3792,179,1,111,0.9
"249",3792,181,1,111,0.9
"250",3792,574,1,111,0.9
"252",3792,592,1,111,0.9
"8",405,687,1,120,0.83
"9",405,783,1,120,0.83
"10",405,2824,1,120,0.83
"68",923,503,1,123,0.81
"71",923,686,1,123,0.81
"73",923,2653,1,123,0.81
"431",7860,71,1,128,0.78
"432",7860,574,1,128,0.78
"832",16406,2,1,130,0.77
"833",16406,5,1,130,0.77
"828",16346,181,1,131,0.76
"829",16346,686,1,131,0.76
"406",7708,71,1,148,0.68
"408",7708,180,1,148,0.68
"409",7708,504,1,148,0.68
"791",16134,5,1,150,0.67
"794",16134,2429,1,150,0.67
"459",8579,6,1,151,0.66
"690",13577,71,1,159,0.63
"691",13577,72,1,159,0.63
"692",13577,167,1,159,0.63
"693",13577,173,1,159,0.63
"694",13577,174,1,159,0.63
"695",13577,179,1,159,0.63
"696",13577,180,1,159,0.63
"697",13577,503,1,159,0.63
"698",13577,783,1,159,0.63
"699",13577,2429,1,159,0.63
