"","codCentro","codArticulo","num_roturas_no_promo","num_servicios_no_promo","num_roturas_promo","num_servicios_promo"
"301",3463,575,6,31,1,3
"302",3463,686,4,28,1,6
"303",3463,70,2,28,1,6
"304",3463,71,9,30,1,4
"305",3463,72,2,20,3,14
"306",3479,173,5,26,2,7
"307",3479,181,12,31,1,2
"308",3479,2,7,21,4,15
"309",3479,503,2,26,2,7
"310",3479,581,3,3,1,2
"311",3487,2,1,12,1,3
"312",3629,184,2,4,1,5
"313",3650,167,15,21,3,6
"314",3650,179,15,20,2,3
"315",3650,181,4,24,1,3
"316",3650,2,7,20,4,9
"317",3650,574,10,25,1,2
"318",3650,686,8,20,1,7
"319",3650,70,5,20,1,7
"320",3650,71,3,24,1,3
"321",3650,72,4,16,1,11
"322",3652,167,1,17,1,4
"323",3652,592,9,19,1,2
"324",3702,167,1,14,1,3
"325",3714,173,4,27,1,5
"326",3714,185,8,30,1,2
"327",3714,504,2,25,2,7
"328",3714,575,8,24,1,5
"329",3714,70,7,27,2,6
"330",37141,528,5,15,1,3
"331",37141,687,10,37,1,2
"332",3739,2,2,25,2,5
"333",3754,483,2,24,1,10
"334",3754,574,4,29,1,3
"335",3754,575,1,29,1,3
"336",3754,72,1,23,10,11
"337",3767,167,2,20,3,7
"338",3767,173,5,25,1,1
"339",3767,179,7,19,1,3
"340",3767,180,3,25,1,1
"341",3767,2,6,21,2,7
"342",3767,503,2,22,2,5
"343",3767,504,9,21,2,5
"344",3767,574,13,24,1,2
"345",3767,592,2,21,2,6
"346",3767,686,10,18,7,8
"347",3767,70,12,20,4,6
"348",3767,71,11,23,3,3
"349",3767,72,4,15,3,12
"350",3768,173,13,21,2,3
"351",3768,174,13,19,1,6
"352",3768,179,12,21,1,2
"353",3768,181,5,21,1,3
"354",3768,2,1,16,1,10
"355",3768,2429,5,14,2,7
"356",3768,2977,17,23,1,1
"357",3768,503,1,20,1,4
"358",3768,504,1,19,1,5
"359",3768,574,12,22,1,2
"360",3768,575,11,22,1,2
"361",3768,687,16,22,2,2
"362",3768,70,11,17,3,7
"363",3771,503,1,16,1,4
"364",3771,70,10,17,1,2
"365",3792,174,1,30,2,10
"366",3792,2,3,30,4,11
"367",3792,503,5,27,5,11
"368",3792,70,2,29,1,9
"369",3800,184,5,8,1,1
"370",4039,2,2,17,1,6
"371",4039,72,2,13,2,11
"372",405,167,1,33,1,7
"373",405,2,6,28,7,13
"374",405,686,8,33,1,7
"375",4080,575,5,16,1,3
"376",41026,686,3,11,1,1
"377",41616,574,5,9,1,1
"378",41616,70,2,9,1,1
"379",41641,167,2,11,2,2
"380",41641,2,2,7,1,2
"381",41641,503,1,11,1,2
"382",41641,72,3,10,1,1
"383",41663,3,3,23,1,1
"384",41664,72,4,9,1,1
"385",418,70,5,8,2,2
"386",41987,167,1,12,1,4
"387",42176,169,2,12,1,2
"388",42176,504,2,12,1,1
"389",42176,71,4,13,1,2
"390",42177,4,1,23,1,1
"391",42205,2,3,4,3,5
"392",42244,187,2,2,1,1
"393",42258,187,3,3,2,2
"394",42270,2,1,3,2,3
"395",42338,2,1,12,1,10
"396",42480,174,1,3,1,3
"397",42643,174,1,8,1,5
"398",42668,174,3,8,1,4
"399",42796,174,2,14,2,4
"400",43042,2,5,9,2,6
"401",43059,187,1,9,1,6
"402",43099,174,2,5,1,3
"403",43105,2,8,10,3,4
"404",43346,2,4,7,1,1
"405",43785,2,2,27,3,6
"406",43785,574,3,27,1,5
"407",43788,72,1,14,1,1
"408",447,167,1,21,1,6
"409",447,181,7,26,1,1
"410",447,2,3,22,1,5
"411",447,72,6,19,1,8
"412",45653,686,1,7,1,2
"413",4679,167,2,25,1,4
"414",4679,686,4,10,1,1
"415",4679,71,8,8,1,1
"416",4743,72,4,21,1,1
"417",4878,72,6,25,4,8
"418",496,2,4,21,1,7
"419",496,528,2,6,1,1
"420",4987,2,1,30,1,3
"421",5490,167,1,15,2,5
"422",5490,181,4,15,1,5
"423",5490,2429,2,15,1,4
"424",5490,574,3,19,1,1
"425",5490,686,3,18,1,2
"426",5490,70,4,17,2,3
"427",5793,167,1,11,2,2
"428",5793,2,3,10,1,3
"429",5809,167,1,10,1,2
"430",5809,179,6,10,1,1
"431",5809,2,2,10,1,2
"432",5809,70,2,10,1,2
"433",5859,167,5,28,2,8
"434",5859,173,1,29,1,6
"435",5859,180,10,34,2,2
"436",5859,2,3,25,4,11
"437",5859,503,2,23,3,12
"438",5859,504,6,32,1,4
"439",5859,528,8,13,2,7
"440",5859,575,6,33,2,3
"441",5859,70,3,31,2,5
"442",5859,71,10,31,2,5
"443",5859,72,4,21,2,15
"444",5879,173,2,44,2,5
"445",5879,686,4,51,1,4
"446",5879,70,10,45,2,6
"447",5879,71,11,56,1,4
"448",5895,574,1,16,1,1
"449",5952,574,7,34,1,1
"450",6161,181,2,32,1,2
"451",6161,2,3,29,1,5
"452",6161,72,2,30,2,4
"453",6165,167,6,28,3,6
"454",6165,173,16,32,1,2
"455",6165,180,6,32,2,2
"456",6165,2,1,24,1,10
"457",6165,2429,8,31,1,3
"458",6165,5,15,32,1,2
"459",6165,504,11,31,1,3
"460",6165,592,2,31,1,3
"461",6165,686,10,29,1,6
"462",6165,71,16,31,2,3
"463",6165,72,2,17,1,17
